phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,CNS.1,ML.1,lifespan.mean,matage.mean,pos.latmean,eq.dist,Superorder,Order,Family,Genus,Species,brain
Abralia_veranyi,2,0,0,1,0,-0.057,-1.227,0.098,-0.098,-0.191,NA,NA,NA,NA,-0.575,NA,-0.957,-0.127,0.236,0.252,0.046,-0.104,-0.49,NA,NA,0.101,0.232,Decapodiformes,Oegopsida,Enoploteuthidae,Abralia,Abralia veranyi,1
Abraliopsis_morisii,2,0,0,1,0,-0.137,0.758,0.036,-0.127,-0.019,-2.033,-1.882,-1.437,-1.189,-1.666,NA,NA,0.757,-1.54,-0.257,-0.325,-0.372,-0.699,-2.281,-1.551,0.453,0.343,Decapodiformes,Oegopsida,Enoploteuthidae,Abraliopsis,Abraliopsis morisii,1
Alloteuthis_media,1,1,1,1,0,-0.112,-1.227,0.072,-0.152,-0.331,-0.212,-0.819,NA,NA,NA,NA,NA,0.757,0.701,0.234,0.233,0.528,-0.088,-0.513,NA,0.954,0.453,Decapodiformes,Myopsida,Loliginidae,Alloteuthis,Alloteuthis media,1
Alloteuthis_subulata,1,1,1,3,1,-0.312,0.595,-0.027,-0.337,-0.302,0.2,-0.903,-0.945,-1.358,0.515,-0.317,0.742,-0.828,0.701,0.918,1.024,-0.14,-0.758,-0.177,-1.282,0.939,0.45,Decapodiformes,Myopsida,Loliginidae,Alloteuthis,Alloteuthis subulata,1
Ancistroteuthis_lichtensteinii,4,0,0,1,0,0.313,-1.227,0.272,0.264,0.927,NA,NA,NA,NA,NA,NA,NA,-0.828,0.236,-0.149,-0.266,0.546,0.902,NA,NA,-0.458,-0.21,Decapodiformes,Oegopsida,Onychoteuthidae,Ancistroteuthis,Ancistroteuthis lichtensteinii,1
Architeuthis_dux,4,0,0,1,0,0.082,0.881,0.084,0.169,0.977,2.992,0.16,0.257,0.539,NA,0.236,-0.957,0.757,0.701,0.471,0.422,2.18,3.635,2.688,0.23,-0.138,0.12,Decapodiformes,Oegopsida,Architeuthidae,Architeuthis,Architeuthis dux,1
Bathothauma_lyromma,3,0,0,1,0,0.617,0.881,0.382,0.624,0.575,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.862,-0.482,0.939,NA,NA,-0.458,-0.21,Decapodiformes,Oegopsida,Cranchiidae,Bathothauma ,Bathothauma lyromma,1
Bathyteuthis_abyssicola,4,0,0,1,0,1.114,0.962,0.609,1.121,1.07,NA,NA,NA,NA,NA,NA,-0.957,NA,-1.54,-0.257,-0.212,-1.865,-1.102,NA,NA,-1.319,0.216,Decapodiformes,Bathyteuthida,Bathyteuthidae,Bathyteuthis ,Bathyteuthis abyssicola,1
Chiroteuthis_veranii,4,0,0,3,1,0.137,0.926,0.059,0.284,1.07,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,1.061,0.116,0.046,-0.424,-0.122,NA,NA,-0.57,-4.816,Decapodiformes,Oegopsida,Chiroteuthidae,Chiroteuthis,Chiroteuthis veranyi,1
Chtenopteryx_sicula,2,0,0,1,0,0.274,0.855,0.212,0.304,0.705,NA,NA,NA,NA,NA,NA,NA,-2.028,-1.54,-0.437,-0.266,-0.958,-0.884,NA,NA,-0.242,0.051,Decapodiformes,Bathyteuthida,Chtenopterygidae,Chtenopteryx ,Chtenopteryx sicula,1
Cranchia_scabra,3,0,0,1,0,0.617,-1.227,0.415,0.561,0.519,-0.794,0.16,NA,NA,-0.575,NA,NA,NA,0.236,-0.149,-0.161,0.32,0.606,-0.512,NA,-0.414,-0.13,Decapodiformes,Oegopsida,Cranchiidae,Cranchia,Cranchia scabra,1
Discoteuthis_laciniosa,2,0,0,1,0,0.152,0.819,0.163,0.169,-1.168,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-1.996,-1.956,0.062,-0.467,NA,NA,0.382,0.323,Decapodiformes,Oegopsida,Cycloteuthidae,Discoteuthis,Discoteuthis laciniosa,1
Egea_inermis,3,0,0,1,0,0.617,0.917,0.364,0.653,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.986,-1.013,-0.382,1.157,NA,NA,-0.414,-0.13,Decapodiformes,Oegopsida,Cranchiidae,Egea ,Egea inermis,1
Galiteuthis_armata,3,0,0,1,0,0.766,0.962,0.415,0.827,-0.803,NA,NA,NA,NA,NA,NA,NA,-0.828,0.701,-0.002,0.334,0.053,1.642,NA,NA,-4.688,0.534,Decapodiformes,Oegopsida,Cranchiidae,Galiteuthis,Galiteuthis armata,0
Gonatus_fabricii,3,0,0,3,1,0.888,0.861,0.526,0.861,-0.362,0.782,0.16,1.603,1.997,NA,NA,-0.225,1.073,1.061,0.806,0.781,0.09,0.453,0.589,1.681,1.553,0.551,Decapodiformes,Oegopsida,Gonatidae,Gonatus,Gonatus fabricii,1
Grimalditeuthis_bonplandi,4,0,0,1,0,0.632,0.978,0.313,0.745,0.575,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,0.236,-0.986,-0.862,-0.856,-0.14,NA,NA,-0.458,-0.21,Decapodiformes,Oegopsida,Chiroteuthidae,Grimalditeuthis,Grimalditeuthis bonplandi,1
Helicocranchia_pfefferi,3,0,0,1,0,0.617,1.085,-7.79,1.015,-0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.996,-1.956,-1.844,NA,NA,NA,0.345,0.313,Decapodiformes,Oegopsida,Cranchiidae,Helicocranchia,Helicocranchia pfefferi,0
Heteroteuthis_dispar,2,1,1,3,1,0.003,0.819,0.084,0.038,-0.019,0.2,1.138,0.053,0.887,-0.575,NA,NA,NA,1.061,0.252,0.26,-0.544,-1.587,0.588,0.261,0.489,0.352,Decapodiformes,Sepiolida,Sepiolidae,Heteroteuthis,Heteroteuthis dispar,1
Histioteuthis_miranda,4,1,1,1,0,0.274,0.917,0.163,0.373,0.003,0.2,1.138,NA,NA,NA,NA,NA,-2.028,0.236,-0.872,-0.633,0.281,-0.272,0.588,NA,-1.264,0.2,Decapodiformes,Oegopsida,Histioteuthidae,Histioteuthis ,Histioteuthis miranda,1
Illex_coindetii,2,1,1,1,0,0.216,-1.227,0.227,0.169,0.505,-0.212,-0.818,-0.297,-0.897,NA,NA,-0.957,0.371,0.701,1.117,1.5,1.176,0.931,-0.513,-0.653,0.253,0.285,Decapodiformes,Oegopsida,Ommastrephidae,Illex,Illex coindetii,1
Illex_illecebrosus,2,1,1,3,1,0.769,0.667,0.485,0.715,-0.273,-0.794,-1.471,-1.892,-1.394,0.866,1.392,0.742,0.757,0.701,1.47,1.496,0.581,0.917,-1.179,-1.91,1.109,0.481,Decapodiformes,Oegopsida,Ommastrephidae,Illex,Illex illecebrosus,1
Joubiniteuthis_portieri,4,0,0,1,0,1.081,-1.227,0.634,1.015,0.349,NA,NA,NA,NA,NA,NA,NA,NA,0.236,-1.126,-0.862,-1.865,-0.884,NA,NA,-0.349,-0.045,Decapodiformes,Oegopsida,Joubiniteuthidae,Joubiniteuthis,Joubiniteuthis portieri,1
