phy.species,depth_cat2,depth_cat,habitat3,benthic,benthic_alt,sociality.3,sociality.bin,depth.max,depth.min,depth.range,lat.range,lat.max,lat.min,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,CNS.1,ML.1,pos.latmax,pos.latmin,depth.mean,lifespan.mean,matage.mean,pos.latmean,CNS.2,CNS.3,ML.2,ML.3
Abdopus_aculeatus,1,1,2,1,1,2,0,10,1,10,0.5,-23,-23.5,365.3,365.3,NA,NA,6,5,3,NA,NA,1,2,178.5,45,67,66.5,5.5,365.3,NA,66.75,118.7,118.2,39,38
Abraliopsis_morisii,2,2,0,0,0,1,0,650,51,600,51,51,0,154,86,127,100,1,NA,NA,5,1,16,11,53.946,42,141,90,350.5,120,113.5,115.5,42.8,42.282,32,31
Alloteuthis_media,1,1,1,1,0,1,0,900,6,895,39,60,21,547.9,182.6,NA,NA,NA,NA,NA,5,4,35,25,184.46,70,150,111,453,365.25,NA,130.5,131.56,,55,
Alloteuthis_subulata,1,1,1,1,0,3,1,500,9,492,40,60,20,730.5,172,180,90,4,2,5,2,4,104,80,74.052,40,150,110,254.5,451.25,135,130,41.14,,32,
Amphitretus_pelagicus,3,4,0,0,0,1,0,2000,101,1900,72,42,-30,NA,NA,NA,NA,2,1,1,NA,NA,7,2,9.4,32,132,60,1050.5,NA,NA,96,,,,
Architeuthis_dux,3,4,0,0,0,1,0,1000,200,1000,120,70,-50,5113.5,365.3,422,294,NA,3,1,5,4,51,33,1766.6,1570,160,40,500.5,2739.4,358,100,,,,
Argonauta_argo,1,1,0,0,0,2,0,518,1,518,90,45,-45,NA,NA,NA,NA,5,3,2,3,5,103,45,121.66,50,135,45,259.5,NA,NA,90,86.548,34.6,40,
Bathothauma_lyromma,3,3,0,0,0,1,0,2000,201,1800,85,45,-40,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5,46.4,165,135,50,1100.5,NA,NA,92.5,,,,
Bathypolypus_bairdii,3,4,2,1,1,1,0,1545,21,1525,5,50,45,1095.8,1095.8,NA,NA,NA,2,1,NA,NA,6,6,193,89,140,135,783,1095.8,NA,137.5,,,,
Bathypolypus_sponsalis,3,4,2,1,1,1,0,1835,171,1665,30,45,15,1461,365.3,517.4,121.8,NA,NA,NA,4,2,20,10,78.376,45,135,105,1003,913.15,319.6,120,51.992,38,30,25
Bathyteuthis_abyssicola,3,4,0,0,0,1,0,4200,101,4100,130,50,-80,NA,NA,NA,NA,NA,NA,1,NA,1,16,13,7,30,140,10,2150.5,NA,NA,75,,,,
