phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,lifespan.mean,matage.mean,pos.latmean,eq.dist,CNS_measure,CNS_value,ML_measure,ML_value
Abdopus_aculeatus,1,2,1,2,0,-2.934,-1.227,-1.256,-2.911,-5.402,-0.794,0.16,NA,NA,1.152,0.933,0.203,NA,NA,-1.996,-1.485,-0.512,NA,-1.797,0.321,CNS.1,0.504,ML.1,-0.617
Abdopus_aculeatus,1,2,1,2,0,-2.934,-1.227,-1.256,-2.911,-5.402,-0.794,0.16,NA,NA,1.152,0.933,0.203,NA,NA,-1.996,-1.485,-0.512,NA,-1.797,0.321,CNS.2,0.031,ML.2,-0.379
Abdopus_aculeatus,1,2,1,2,0,-2.934,-1.227,-1.256,-2.911,-5.402,-0.794,0.16,NA,NA,1.152,0.933,0.203,NA,NA,-1.996,-1.485,-0.512,NA,-1.797,0.321,CNS.3,0.747,ML.3,-0.027
Abralia_veranyi,2,0,0,1,0,-0.057,-1.227,0.098,-0.098,-0.191,NA,NA,NA,NA,-0.575,NA,-0.957,-0.127,0.236,0.252,0.046,NA,NA,0.101,0.232,CNS.1,-0.104,ML.1,-0.49
Abralia_veranyi,2,0,0,1,0,-0.057,-1.227,0.098,-0.098,-0.191,NA,NA,NA,NA,-0.575,NA,-0.957,-0.127,0.236,0.252,0.046,NA,NA,0.101,0.232,CNS.2,-0.559,ML.2,-0.256
Abralia_veranyi,2,0,0,1,0,-0.057,-1.227,0.098,-0.098,-0.191,NA,NA,NA,NA,-0.575,NA,-0.957,-0.127,0.236,0.252,0.046,NA,NA,0.101,0.232,CNS.3,NA,ML.3,NA
Abraliopsis_morisii,2,0,0,1,0,-0.137,0.758,0.036,-0.127,-0.019,-2.033,-1.882,-1.437,-1.189,-1.666,NA,NA,0.757,-1.54,-0.257,-0.325,-2.281,-1.551,0.453,0.343,CNS.1,-0.372,ML.1,-0.699
Abraliopsis_morisii,2,0,0,1,0,-0.137,0.758,0.036,-0.127,-0.019,-2.033,-1.882,-1.437,-1.189,-1.666,NA,NA,0.757,-1.54,-0.257,-0.325,-2.281,-1.551,0.453,0.343,CNS.2,-1.121,ML.2,-0.706
Abraliopsis_morisii,2,0,0,1,0,-0.137,0.758,0.036,-0.127,-0.019,-2.033,-1.882,-1.437,-1.189,-1.666,NA,NA,0.757,-1.54,-0.257,-0.325,-2.281,-1.551,0.453,0.343,CNS.3,-0.28,ML.3,-0.347
Alloteuthis_media,1,1,1,1,0,-0.112,-1.227,0.072,-0.152,-0.331,-0.212,-0.819,NA,NA,NA,NA,NA,0.757,0.701,0.234,0.233,-0.513,NA,0.954,0.453,CNS.1,0.528,ML.1,-0.088
Alloteuthis_media,1,1,1,1,0,-0.112,-1.227,0.072,-0.152,-0.331,-0.212,-0.819,NA,NA,NA,NA,NA,0.757,0.701,0.234,0.233,-0.513,NA,0.954,0.453,CNS.2,0.147,ML.2,0.191
Alloteuthis_media,1,1,1,1,0,-0.112,-1.227,0.072,-0.152,-0.331,-0.212,-0.819,NA,NA,NA,NA,NA,0.757,0.701,0.234,0.233,-0.513,NA,0.954,0.453,CNS.3,NA,ML.3,NA
Alloteuthis_subulata,1,1,1,3,1,-0.312,0.595,-0.027,-0.337,-0.302,0.2,-0.903,-0.945,-1.358,0.515,-0.317,0.742,-0.828,0.701,0.918,1.024,-0.177,-1.282,0.939,0.45,CNS.1,-0.14,ML.1,-0.758
Alloteuthis_subulata,1,1,1,3,1,-0.312,0.595,-0.027,-0.337,-0.302,0.2,-0.903,-0.945,-1.358,0.515,-0.317,0.742,-0.828,0.701,0.918,1.024,-0.177,-1.282,0.939,0.45,CNS.2,-1.166,ML.2,-0.706
Alloteuthis_subulata,1,1,1,3,1,-0.312,0.595,-0.027,-0.337,-0.302,0.2,-0.903,-0.945,-1.358,0.515,-0.317,0.742,-0.828,0.701,0.918,1.024,-0.177,-1.282,0.939,0.45,CNS.3,NA,ML.3,NA
Amphitretus_pelagicus,4,0,0,1,0,0.617,0.819,0.399,0.593,0.382,NA,NA,NA,NA,-0.575,-1.263,-0.957,NA,NA,-0.775,-1.485,NA,NA,-0.306,-0.002,CNS.1,-1.649,ML.1,-1.025
Amphitretus_pelagicus,4,0,0,1,0,0.617,0.819,0.399,0.593,0.382,NA,NA,NA,NA,-0.575,-1.263,-0.957,NA,NA,-0.775,-1.485,NA,NA,-0.306,-0.002,CNS.2,NA,ML.2,NA
Amphitretus_pelagicus,4,0,0,1,0,0.617,0.819,0.399,0.593,0.382,NA,NA,NA,NA,-0.575,-1.263,-0.957,NA,NA,-0.775,-1.485,NA,NA,-0.306,-0.002,CNS.3,NA,ML.3,NA
Ancistroteuthis_lichtensteinii,4,0,0,1,0,0.313,-1.227,0.272,0.264,0.927,NA,NA,NA,NA,NA,NA,NA,-0.828,0.236,-0.149,-0.266,NA,NA,-0.458,-0.21,CNS.1,0.546,ML.1,0.902
Ancistroteuthis_lichtensteinii,4,0,0,1,0,0.313,-1.227,0.272,0.264,0.927,NA,NA,NA,NA,NA,NA,NA,-0.828,0.236,-0.149,-0.266,NA,NA,-0.458,-0.21,CNS.2,0.332,ML.2,1.148
Ancistroteuthis_lichtensteinii,4,0,0,1,0,0.313,-1.227,0.272,0.264,0.927,NA,NA,NA,NA,NA,NA,NA,-0.828,0.236,-0.149,-0.266,NA,NA,-0.458,-0.21,CNS.3,NA,ML.3,NA
Architeuthis_dux,4,0,0,1,0,0.082,0.881,0.084,0.169,0.977,2.992,0.16,0.257,0.539,NA,0.236,-0.957,0.757,0.701,0.471,0.422,2.688,0.23,-0.138,0.12,CNS.1,2.18,ML.1,3.635
Architeuthis_dux,4,0,0,1,0,0.082,0.881,0.084,0.169,0.977,2.992,0.16,0.257,0.539,NA,0.236,-0.957,0.757,0.701,0.471,0.422,2.688,0.23,-0.138,0.12,CNS.2,NA,ML.2,NA
Architeuthis_dux,4,0,0,1,0,0.082,0.881,0.084,0.169,0.977,2.992,0.16,0.257,0.539,NA,0.236,-0.957,0.757,0.701,0.471,0.422,2.688,0.23,-0.138,0.12,CNS.3,NA,ML.3,NA
Argonauta_argo,1,0,0,2,0,0.424,-1.227,0.324,0.373,0.642,NA,NA,NA,NA,0.866,0.236,-0.225,-0.127,1.061,0.912,0.633,NA,NA,-0.57,-4.816,CNS.1,0.223,ML.1,-0.49
Argonauta_argo,1,0,0,2,0,0.424,-1.227,0.324,0.373,0.642,NA,NA,NA,NA,0.866,0.236,-0.225,-0.127,1.061,0.912,0.633,NA,NA,-0.57,-4.816,CNS.2,-0.326,ML.2,-0.337
